question,answer
What is General Surgery?,"General Surgery performs surgical procedures. Doctors: Dr. Rizwan Ali, Dr. Munira Hassan, Dr. Asif Khan. Timings: Monday-Friday, 9 AM-4 PM. Fees: Rs. 1600-2200."
Who is Dr. Ahmed Hassan?,"Dr. Ahmed Hassan is a senior cardiologist with 18 years of experience. Specializes in interventional cardiology and cardiac imaging. Qualifications: MBBS, MD Cardiology."
Tell me about Dr. Fatima Khan.,"Dr. Fatima Khan is a cardiologist specializing in heart disease prevention. Board certified with 12 years experience. Qualifications: MBBS, FCPS Cardiology."
Who is Dr. Muhammad Ali?,"Dr. Muhammad Ali is a neurologist focusing on stroke treatment and epilepsy. Has published over 20 research papers. Qualifications: MBBS, MD Neurology."
Tell me about Dr. Hassan Khan.,"Dr. Hassan Khan is an orthopedic surgeon specializing in joint replacements and arthroscopic surgery. 15 years of experience. Qualifications: MBBS, FCPS Orthopedics."
Who is Dr. Bilal Siddiqui?,"Dr. Bilal Siddiqui is a pediatrician with focus on neonatal care and childhood development. Very patient with children. Qualifications: MBBS, FCPS Pediatrics."
What are the consultation fees?,"Consultation fees vary by department: General Medicine Rs. 800-1200, Cardiology Rs. 1500-2000, Neurology Rs. 1200-1800, Orthopedics Rs. 1300-1900, Pediatrics Rs. 1000-1500."
How do I book an appointment?,"To book an appointment, visit the hospital during working hours, call our main desk, or use our online booking system. Choose your preferred department and doctor."
What are the emergency services?,"Emergency services available 24/7. We have a dedicated emergency department with trauma surgeons, emergency physicians, and all necessary equipment. Emergency hotline is available round the clock."
What is the hospital address?,"Please visit our website or call the main reception for the exact address and directions. We are located in the heart of Karachi."
Are lab tests available?,"Yes, we have a fully equipped laboratory with pathology services. Tests can be done on the same day with results available within 24 hours."
Do you have pharmacy services?,"Yes, we have an in-house pharmacy with medicines and healthcare products. Prescriptions filled quickly and efficiently."
Is ambulance service available?,"Yes, ambulance service is available 24/7 for emergency transport. Call our emergency hotline to request an ambulance."
What payment methods are accepted?,"We accept cash, credit cards, debit cards, and bank transfers. We also have health insurance packages available."
Can I get a second opinion?,"Yes, second opinions are welcome. Consult with another specialist or doctor from our hospital for additional medical advice."
What are visiting hours?,"General visiting hours are usually 4 PM to 8 PM. Critical care and ICU have restricted visiting hours. Please check with reception for specific timings."
Do you have specialized equipment?,"Yes, we have state-of-the-art equipment including CT scans, MRI machines, ultrasound, X-ray, and advanced surgical equipment."
Can I book online?,"Online booking options are available on our website. You can also call our booking center or visit in person."
What about pediatric care?,"We have specialized pediatric services including vaccination, growth monitoring, developmental screening, and treatment for childhood illnesses."
Are maternity services available?,"Yes, we have maternity services with obstetrics and gynecology department. Pre-natal and post-natal care available."
What insurance plans do you accept?,"We accept most major health insurance plans. Please contact our billing department for specific insurance information."
Do you provide home healthcare?,"Yes, we offer home healthcare services for patients requiring nursing care, physiotherapy, or medical monitoring at home."
What about physiotherapy?,"Yes, we have a physiotherapy department with trained therapists for rehabilitation and physical therapy."
Can I get medical records?,"Yes, you can request your medical records from the records department. Some charges may apply for photocopies."
Is there a pharmacy delivery service?,"Yes, pharmacy delivery is available for customers within our service area. Call pharmacy for details."
What specialist doctors are available?,"We have specialists in 10 departments with highly qualified and experienced doctors. All doctors are board-certified."
How experienced are your doctors?,"Our doctors have 7-18 years of experience with advanced qualifications including MBBS, FCPS, and MD degrees from recognized institutions."
Do you have night shifts?,"General Medicine operates 24/7. Other departments have extended hours. Please check specific department timings."
What about diagnostic tests?,"Complete diagnostic services available including blood tests, imaging, ECG, EEG, and specialized testing. Same-day results for most tests."
Is mental health counseling available?,"Yes, psychological counseling and mental health support services are available by appointment."
Do you treat chronic diseases?,"Yes, we specialize in chronic disease management including diabetes, hypertension, asthma, and heart disease."
What about vaccinations?,"Pediatrics and General Medicine provide vaccination services. All standard and optional vaccines are available."
Can I consult via video call?,"Yes, we offer telemedicine consultation for certain conditions. Call reception to book a video consultation."
What are the hospital's accreditations?,"Our hospital is accredited by international healthcare bodies ensuring quality and patient safety standards."
Do you have an ICU?,"Yes, we have a fully equipped ICU with critical care specialists and life support systems available 24/7."
Are surgical procedures safe?,"Yes, all surgeries are performed by experienced surgeons in sterile operating theaters with latest equipment and infection control protocols."
What about post-operative care?,"Comprehensive post-operative care including pain management, wound care, and follow-up consultations are provided."
Can family stay during admission?,"Yes, one family member can stay with the patient. Contact admission office for accommodation details."
What are the ward facilities?,"Single, double, and general wards available with basic amenities, TV, and attached washrooms. AC and non-AC options available."
Is WiFi available in hospital?,"Yes, WiFi is available in patient rooms and common areas for patient comfort."
What about dietary services?,"Hospital provides nutritious meals prepared by qualified nutritionists. Special diets available as per medical requirements."
Can I get a disability certificate?,"Yes, disability certificates can be obtained from the concerned department doctor with proper examination."
What about organ donation?,"We support organ donation programs. Speak to medical staff about the process and requirements."
Do you conduct health camps?,"Yes, we conduct regular health awareness camps and free health checkup camps in the community."
What is your quality assurance policy?,"We follow strict quality assurance protocols, regular audits, and continuous training for staff to maintain high standards."
